# index, name, _pos
116,M117.2,"array([22.70970571,  1.60842248])"
117,B0563.4,"array([-5.59844206, -2.14316196])"
118,C14B1.2,"array([-5.94429362, -2.72695442])"
119,B0564.1,"array([20.71886301, -0.033186  ])"
120,C52B11.2,"array([21.14565347,  1.39712917])"
121,C01B10.8,"array([24.407922  , 10.11733693])"
122,Y113G7B.23,"array([24.24776647,  8.36170831])"
123,C01B7.4,"array([20.53080165, 19.32537485])"
124,C04A11.4,"array([19.81064481, 19.87964873])"
125,F10C1.1,"array([20.28066967, 20.4410168 ])"
126,F38C2.5,"array([20.34786249, 17.44551499])"
127,H25P06.2,"array([21.34083536, 19.75402386])"
128,T25B6.4,"array([20.97111087, 20.38509575])"
129,C01C10.2,"array([29.01442754, -5.46528261])"
130,C02F5.1,"array([29.39174464, -4.36696836])"
131,T07G12.6,"array([27.77795356, -5.82955425])"
132,C01F6.5,"array([-0.95956068,  0.47337159])"
133,T20G5.11,"array([-1.53199712,  0.12201559])"
134,C01F6.8,"array([12.59448662, -1.7763113 ])"
135,T28D9.10,"array([11.36902982, -2.55166541])"
136,Y116A8C.42,"array([11.85359989, -2.93471412])"
137,Y49E10.15,"array([11.27483478, -1.90427372])"
138,Y71F9B.4,"array([14.81878555, -0.14492067])"
139,C01F6.9,"array([10.32044358,  7.6774326 ])"
140,C01G10.11,"array([30.51928315,  2.92835807])"
141,K01A6.4,"array([27.86203691,  3.15237891])"
142,T07A5.6,"array([31.96048578,  3.12678951])"
143,T22D1.3,"array([31.98117522,  2.57972453])"
144,C01G5.6,"array([18.27466488,  8.86633664])"
145,M03B6.1,"array([19.24110609,  7.33868846])"
146,C01G5.8,"array([23.15154118,  6.76525572])"
147,K12C11.2,"array([24.08720827,  5.10962761])"
148,C01G8.6,"array([17.1424913,  3.6219096])"
149,Y59A8B.7,"array([18.6026732 ,  3.25980694])"
150,C01H6.5,"array([20.07541944,  1.31353202])"
151,C06G1.5,"array([21.79862974,  2.07431609])"
152,C02A12.1,"array([-5.44504437,  4.250111  ])"
153,Y87G2A.14,"array([-5.42200244,  3.57775368])"
154,C02B10.5,"array([23.62054603,  7.40875751])"
155,Y73F8A.16,"array([23.30116454,  5.56818631])"
156,C02B10.6,"array([46.45906058, 14.90310002])"
157,C02B4.2,"array([-0.32440376, 15.78872505])"
158,C24G6.4,"array([ 0.32967878, 15.97211778])"
159,C02B8.3,"array([32.07836185, 12.30483041])"
160,F11D5.1,"array([31.71637152, 11.06345317])"
161,C02B8.4,"array([11.41169129, 23.02653456])"
162,Y7A9D.1,"array([10.890955  , 22.57317239])"
163,K02E10.2,"array([22.3211247 ,  2.73293244])"
164,Y65B4BR.4,"array([23.16851072,  3.05007929])"
165,C02F12.8,"array([18.78795428,  6.83434437])"
166,C32D5.8,"array([17.72973312,  8.19840731])"
167,C02F4.2,"array([49.01295631,  1.03857386])"
168,F54E7.7,"array([49.28958284,  0.41298788])"
169,H18N23.2,"array([27.45123596, -2.77667767])"
170,K04A8.1,"array([30.94769891, -4.47304308])"
171,Y69E1A.2,"array([30.44938841, -5.28998958])"
172,C02F5.9,"array([29.19674231, -0.07239572])"
173,C08E3.9,"array([27.04759362,  0.50116524])"
174,R06C1.3,"array([30.56034428, -0.04966823])"
175,C03A3.2,"array([17.35380921,  4.62238162])"
176,C03A7.4,"array([ -0.96550487, -14.71400237])"
177,F23A7.1,"array([ -0.61482002, -15.30498156])"
178,C03C10.4,"array([23.98013848,  5.79269479])"
179,F32B4.4,"array([22.25917885,  3.56609685])"
180,F55H2.7,"array([22.83149151,  4.06384297])"
181,K12F2.2,"array([22.02607447,  3.91886913])"
182,R07E5.1,"array([25.12480936,  8.72167924])"
183,T04H1.2,"array([26.25331928,  6.4919278 ])"
184,T27F6.4,"array([25.87004085,  7.23572727])"
185,Y54E10A.5,"array([22.57080696,  5.281783  ])"
186,C03D6.1,"array([20.77224664, -0.49052914])"
187,R102.5,"array([21.45277724, -0.88641545])"
188,ZK112.2,"array([21.42935857,  1.60742791])"
189,ZK849.2,"array([20.0283172 , -1.86756058])"
190,C03G6.3,"array([ 2.73640331, 21.94694111])"
191,F21D5.4,"array([ 3.1000504 , 21.23842856])"
192,C04C3.5,"array([17.71448074,  0.44398434])"
193,C44B9.2,"array([19.48527511,  1.10533232])"
194,C04E6.7,"array([ 40.71731404, -16.42443283])"
195,W10G11.17,"array([ 40.07211624, -16.17827934])"
196,C04F1.3,"array([17.46800843,  5.92813512])"
197,F58A3.1,"array([20.15791742,  4.82608491])"
198,C04F12.3,"array([21.83254515,  4.84584159])"
199,C36C9.1,"array([22.83586747,  3.52034401])"
200,F54G8.4,"array([20.99656239,  4.01377229])"
201,C04G6.4,"array([23.38779357,  1.99941936])"
202,C05C10.5,"array([25.70999543,  0.69464267])"
203,F18A1.3,"array([25.93380416,  1.91473095])"
204,T02E1.3,"array([29.32973149,  1.80298172])"
205,ZC239.15,"array([24.63567416, -0.6033594 ])"
206,ZC8.4,"array([23.10301156,  1.21532177])"
207,ZK1055.7,"array([23.23754504, -0.19316253])"
208,C05C8.2,"array([25.49788763,  1.92494145])"
209,C06A5.9,"array([23.81642276,  1.83414557])"
210,C05D10.1,"array([16.98644925,  1.87601062])"
211,C18H9.7,"array([18.79797939,  1.60996321])"
212,C05D10.4,"array([16.79878569, -1.93325273])"
213,C05D12.2,"array([11.37273449,  6.92687241])"
214,C05D12.4,"array([25.71608691,  1.07909118])"
215,C05D2.4,"array([48.41168281, 13.01562402])"
216,C05D9.1,"array([24.41742847, -5.36510919])"
217,C06E1.1,"array([23.38177067, -3.8190018 ])"
218,Y59A8B.22,"array([24.96833   , -7.07715528])"
219,C05D9.3,"array([9.26067068, 6.79726088])"
220,C05E11.6,"array([34.71413177,  3.60070846])"
221,W09C2.1,"array([34.36856421,  2.26119855])"
222,C05G5.5,"array([25.48881137, -2.78476886])"
223,R05D8.8,"array([24.75978591, -1.12026836])"
224,K10C3.6,"array([14.85324803, -2.73857078])"
225,C41C4.8,"array([20.4560592 , 30.21503041])"
226,F23C8.4,"array([21.83848522, 31.11651154])"
227,F28F8.6,"array([20.00901094, 30.78974861])"
228,F45E4.2,"array([20.45928396, 31.73448679])"
229,T19B10.6,"array([21.33230166, 31.80561491])"
230,C06B8.8,"array([25.68233226,  2.34770231])"
231,C17E7.4,"array([22.83228001, -2.46656506])"
232,C18A3.3,"array([25.09455916,  1.94728271])"
233,C18H9.1,"array([22.46228767,  3.94990377])"
234,C24D10.6,"array([24.19199955,  2.07445744])"
235,C38D9.1,"array([23.30214502,  0.61514109])"
236,D1086.4,"array([25.8544453 ,  1.42516674])"
237,F08F8.1,"array([20.78136463,  0.78968132])"
238,F12E12.5,"array([24.92183623,  3.62617495])"
239,F27C1.6,"array([24.7915152 ,  0.25238381])"
240,F30A10.2,"array([20.92988284,  2.26383136])"
241,F37C12.4,"array([25.24401331,  1.16979169])"
242,F44G3.9,"array([19.75488367,  4.28160097])"
243,F59B8.1,"array([25.32521582,  4.13001946])"
244,H06I04.1,"array([22.00223384,  1.75490365])"
245,H06I04.3,"array([25.25575435,  0.79242531])"
246,K10C9.7,"array([28.10099734, -1.04517716])"
247,R03D7.4,"array([25.42827564,  1.52835194])"
248,R07G3.7,"array([24.39496957,  0.49618654])"
249,R10E9.2,"array([25.20899898,  0.39425605])"
250,T01H8.5,"array([24.8343022 ,  0.70879389])"
251,T04F8.6,"array([22.88026203,  0.5095487 ])"
252,T12D8.9,"array([21.13552019,  0.48773349])"
253,Y113G7B.1,"array([26.66163788, -3.04595803])"
254,Y37A1B.1,"array([23.0530863 ,  4.65669487])"
255,Y37D8A.21,"array([21.99146235,  2.93979607])"
256,Y48E1B.10,"array([26.53022929,  0.42260034])"
257,Y48E1B.5,"array([24.96109296,  1.49922858])"
258,Y71G10AL.1,"array([22.48228107,  5.80493823])"
259,ZK682.7,"array([22.85051003, -0.38909841])"
260,C06A8.2,"array([ 10.19623409, -19.66037805])"
261,T02C12.2,"array([ 10.5111959 , -19.06411791])"
262,C06A8.3,"array([30.3527403,  6.3516728])"
263,C06A8.5,"array([20.95720826,  6.52365643])"
264,F59C12.3,"array([21.47492554,  5.00298319])"
265,C06A8.6,"array([ 3.97221508, -8.58609736])"
266,T06C10.3,"array([ 3.88824812, -7.9053564 ])"
267,C32D5.9,"array([21.89170751, -2.48717151])"
268,D2013.2,"array([22.67021029, -6.88397336])"
269,ZK593.6,"array([23.76593858, -0.23595461])"
270,C06E1.10,"array([22.1580277 ,  8.13104662])"
271,C06E1.5,"array([14.6653934 ,  2.39455797])"
272,ZK1248.3,"array([16.50006495,  2.41733687])"
273,C06E2.7,"array([26.4170828 ,  1.59902545])"
274,C06E7.1,"array([ 36.28235448, -19.93168835])"
275,C49F5.1,"array([ 35.67845552, -19.46869123])"
