# index, _pos
149,"array([-14.0363025,  12.8330937])"
150,"array([-14.6319605 ,  12.39477497])"
151,"array([-14.91736562,  11.70964168])"
152,"array([-12.24572571,  12.47165436])"
153,"array([-13.72824617,  12.30529338])"
154,"array([-12.91475428,  12.18446007])"
155,"array([-14.21973098,  11.80634726])"
156,"array([-1.96017389,  9.74169168])"
157,"array([-10.4783249 ,   6.19481556])"
158,"array([-22.69369075,  22.02064676])"
159,"array([-29.43629323,  17.14307324])"
160,"array([-9.39853222,  4.87259817])"
161,"array([-11.36987011,   4.73832213])"
162,"array([-9.95845843,  3.25584614])"
163,"array([-11.39220926,   5.49480226])"
164,"array([-12.15777881,   9.14827207])"
165,"array([ -1.7336387 , -14.56906604])"
166,"array([-9.69996005,  3.36472097])"
167,"array([-10.81065537,   3.50569099])"
168,"array([-12.02983985,   2.67388618])"
169,"array([-10.45589757,   3.86921059])"
170,"array([-11.93248355,   3.03681987])"
171,"array([-13.08926478,   3.48261371])"
172,"array([-12.88054093,   3.0497361 ])"
173,"array([-11.27963633,   4.3937035 ])"
174,"array([-11.50015564,   4.08326326])"
175,"array([-10.71241085,   5.32381517])"
176,"array([-11.28877985,   6.87564665])"
177,"array([-11.71977279,   5.82230798])"
178,"array([-10.19662355,   7.03166532])"
179,"array([-12.15597327,   6.55427698])"
180,"array([-13.24595534,   6.3710497 ])"
181,"array([-12.11468675,   6.06034925])"
182,"array([-11.17133141,   7.39930246])"
183,"array([-11.32472224,   6.36294841])"
184,"array([-10.79567082,   6.8861553 ])"
185,"array([-17.57337373,   2.61689514])"
186,"array([7.9299288 , 6.99041114])"
187,"array([-13.64828711,   1.94951359])"
188,"array([-13.34242991,   2.15074346])"
189,"array([-14.25094024,   2.32329707])"
190,"array([-13.93469372,   2.51389243])"
191,"array([-13.96486638,   3.90553992])"
192,"array([-13.64658601,   2.73284063])"
193,"array([-13.63409183,   4.04579709])"
194,"array([-13.77543814,   3.64192813])"
195,"array([-13.76225233,   2.25701214])"
196,"array([-13.06980482,   2.33799953])"
197,"array([-15.4680069 ,   4.52903876])"
198,"array([-12.99876404,   1.93774954])"
199,"array([-13.49118405,   2.44011674])"
200,"array([-15.83627733,   4.00080463])"
201,"array([-13.77346412,   3.08592103])"
202,"array([-13.30574496,   1.82115782])"
203,"array([-14.48178012,   2.8592425 ])"
204,"array([-14.14147887,   3.60304998])"
205,"array([-13.57014783,   3.40669949])"
206,"array([-13.99281987,   3.30064724])"
207,"array([-14.38355447,   3.38514869])"
208,"array([-14.26276524,   2.6510866 ])"
209,"array([-13.97893309,   2.83458255])"
210,"array([-15.87468024,   2.61003141])"
211,"array([-12.07793473,   2.0164611 ])"
212,"array([-14.10761614,   4.36766576])"
213,"array([-12.62459394,   4.44246575])"
214,"array([-14.49945013,   3.91204054])"
215,"array([-3.4353138 , 11.00529521])"
216,"array([-7.39377644,  9.90568843])"
217,"array([-6.07278493,  7.89298802])"
218,"array([-7.99311524,  9.81531333])"
219,"array([-12.08873508,   4.10750424])"
220,"array([-12.4591844 ,   4.07207952])"
221,"array([-12.2904794 ,   1.39809409])"
222,"array([-14.96751241,   3.63893383])"
223,"array([-9.80922267,  8.61099748])"
224,"array([-12.69650104,   1.34016287])"
